CODED_ID,SCHOOL_ID,GRADE,GENDER,FNR_STATUS_CODE,FNR_STATUS_DESCRIPTION,SINGLE_ETHNICITY,LEP_CODE,LEP_DESCRIPTION,PRIM_EX_CODE,PRIM_EX,OTHER_EX_CODES,OTHER_EX,GIFTED,ESE,HOMELESS_CODE,HOMELESS_CAUSE,HOMELESS_UNAC_YTH,GIFTED_ELIG,S504,PRIM_HOME_LANG,LNF,PSF,NWF_Letter,NWF_Word,ORF_WC,UnifiedScore,FAST_Equivalent_Score,PR,NCE,Overall_Scale_Score,Phonological_Awareness_Scale_Score,Phonics_Scale_Score,Vocabulary_Scale_Score,FAST_PM3_AchievementLevel,iReady_Spring_Placement
1210514,101,2,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,46.0,14.0,58.0,910.0,175.0,66.0,58.7,459.0,,465.0,440.0,Level 3,Early On Grade Level
1210616,101,2,F,0,Paid Lunch [0],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Not homeless [Z],Z,Not 504 Eligible[Z],SP,,,58.0,18.0,20.0,770.0,128.0,15.0,28.2,411.0,,447.0,329.0,Level 1,1 Grade Level Below
1210638,101,1,F,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,24.0,7.0,56.0,17.0,18.0,802.0,138.0,72.0,62.3,400.0,459.0,464.0,384.0,Level 2,Mid or Above Grade Level
1210648,101,2,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,38.0,12.0,23.0,767.0,127.0,14.0,27.2,396.0,388.0,387.0,383.0,Level 1,1 Grade Level Below
1210739,101,1,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,10.0,7.0,11.0,1.0,0.0,718.0,110.0,26.0,36.5,369.0,317.0,368.0,385.0,Level 1,1 Grade Level Below
1211170,101,2,M,0,Paid Lunch [0],White,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,47.0,13.0,22.0,764.0,126.0,13.0,26.3,440.0,,469.0,427.0,Level 2,1 Grade Level Below
1211699,101,1,F,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,31.0,38.0,34.0,11.0,3.0,758.0,124.0,52.0,51.1,413.0,445.0,392.0,415.0,Level 5,Mid or Above Grade Level
1211838,101,1,M,0,Paid Lunch [0],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,35.0,25.0,25.0,2.0,7.0,726.0,113.0,31.0,39.6,397.0,408.0,427.0,377.0,Level 3,Early On Grade Level
1211936,101,1,F,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,5.0,12.0,16.0,2.0,0.0,633.0,81.0,6.0,17.3,349.0,364.0,353.0,327.0,Level 1,Early On Grade Level
1211940,101,1,M,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],F,F - Speech Impaired,,,N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,15.0,3.0,17.0,1.0,0.0,724.0,112.0,29.0,38.3,400.0,415.0,361.0,412.0,Level 1,1 Grade Level Below
